service_request_id,service_name,title,description,requested_datetime,status
65691-2025,Leuchte ausgefallen,#65691-2025 Leuchte ausgefallen,Die Laterne ist ausgefallen und leuchtet nur noch sehr schwach ,2025-11-06T20:15:15+01:00,closed
65695-2025,Leuchte ausgefallen,#65695-2025 Leuchte ausgefallen,Neben Mast 5 ist auch die anschließende provisorische Leutche in der Margot-Hilscher-Str. aus. Insgesamt 2 Leuchten. Danke fürs Beheben vorab.,2025-11-06T21:15:09+01:00,closed
65698-2025,Leuchte ausgefallen,#65698-2025 Leuchte ausgefallen,Hängeleuchte komplett dunkel. Nr. nicht lesbar.,2025-11-06T21:33:45+01:00,closed
65699-2025,Leuchte ausgefallen,#65699-2025 Leuchte ausgefallen,Leuchte an Ampel Mast setzt immer wieder aus,2025-11-06T22:34:04+01:00,closed
65700-2025,Leuchte ausgefallen,#65700-2025 Leuchte ausgefallen,im Kreuzungsbereich hängend ausgefallen ,2025-11-06T22:37:24+01:00,closed
65701-2025,Leuchte ausgefallen,#65701-2025 Leuchte ausgefallen,Über der Leonrodstraße ist eine Leuchte ausgefallen. Bei Hausnummer 73,2025-11-06T22:57:35+01:00,closed
65702-2025,Leuchte ausgefallen,#65702-2025 Leuchte ausgefallen,Auf Garmischer Straße stadteinwärts  bei ca. Hausnummer 138 Lampe ausgefallen,2025-11-07T00:15:20+01:00,closed
65739-2025,Leuchte ausgefallen,#65739-2025 Leuchte ausgefallen,"Die Beleuchtung der Muxelstr. 2 ist ausgefallen. 
Gegenüber die Beleuchtung Rehbergstrasse glüht nur noch.",2025-11-07T18:20:30+01:00,closed
65741-2025,Leuchte ausgefallen,#65741-2025 Leuchte ausgefallen,Die Laterne Nr. 10 in der Raintaler Str. ist ausgefallen. ,2025-11-07T18:29:51+01:00,closed
65744-2025,Leuchte ausgefallen,#65744-2025 Leuchte ausgefallen,Leuchte geht an/aus im Abstand von Sekunden/Minuten.,2025-11-07T18:37:05+01:00,closed
65748-2025,Leuchte ausgefallen,#65748-2025 Leuchte ausgefallen,"Auf dem Fuss - und Radweg , gleich die erste Lampe Mast 1 von der Strasse her ist dunkel",2025-11-07T19:29:25+01:00,closed
65751-2025,Leuchte ausgefallen,#65751-2025 Leuchte ausgefallen,Beleuchtung einsteitig ausgefallen.,2025-11-07T20:54:49+01:00,closed
65750-2025,Leuchte ausgefallen,#65750-2025 Leuchte ausgefallen,Hängeleuchte komplett dunkel,2025-11-07T20:55:43+01:00,closed
65752-2025,Leuchte ausgefallen,#65752-2025 Leuchte ausgefallen,"Laterne defekt auf Höhe Nordendstraße 34, 80801 München",2025-11-07T21:40:32+01:00,open
65754-2025,Leuchte ausgefallen,#65754-2025 Leuchte ausgefallen,"Strassenlampe seit einigen Tagen defekt, Höhe Tengstraße 17.",2025-11-07T22:02:44+01:00,closed
65755-2025,Leuchte ausgefallen,#65755-2025 Leuchte ausgefallen,Licht ist sehr schwach,2025-11-07T22:26:27+01:00,closed
